Player,Team,Age,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Ziaire Williams,MEM,21,36,14.7,5.2,2.1,4.9,42.4,0.6,2.5,24.7,0.4,0.5,77.8,0.4,1.7,2.1,0.7,1.0,0.4,0.1,1.6,-1.9
Jaxson Hayes,NOP,22,45,13.4,5.1,1.9,3.4,55.9,0.1,0.6,11.1,1.3,1.8,69.9,0.9,2.0,2.9,0.8,0.7,0.4,0.4,1.5,-1.7
Kevin Knox II,POR,23,54,12.8,5.1,1.9,3.9,47.4,0.9,2.4,35.9,0.5,0.7,80.6,0.4,1.9,2.4,0.3,0.6,0.3,0.2,1.6,-2.0
Lindy Waters III,OKC,25,37,12.8,5.1,1.6,4.2,39.4,1.4,3.8,36.6,0.4,0.5,83.3,0.3,1.4,1.7,0.7,0.3,0.3,0.2,1.0,3.2
Derrick Jones Jr.,CHI,26,56,14.0,5.0,1.8,3.6,50.8,0.4,1.1,31.7,1.1,1.4,76.6,0.9,1.4,2.4,0.6,0.4,0.4,0.6,1.3,1.8
Cody Martin,CHA,27,7,19.1,5.0,2.0,5.1,38.9,0.4,2.0,21.4,0.6,1.0,57.1,1.1,2.3,3.4,1.6,0.3,0.6,0.1,1.9,-3.7
Jonathan Isaac,ORL,25,11,11.3,5.0,2.0,4.8,41.5,0.5,1.4,40.0,0.5,0.8,55.6,1.4,2.6,4.0,0.5,0.4,1.3,0.4,0.5,-1.7
Zeke Nnaji,DEN,22,47,13.2,5.0,1.9,3.3,58.0,0.3,1.0,28.3,0.8,1.2,67.2,1.2,1.2,2.4,0.3,0.5,0.3,0.4,1.9,-2.1
Darius Bazley,PHX,22,41,14.2,5.0,1.8,4.0,44.6,0.5,1.2,38.8,0.9,1.6,55.2,0.7,2.4,3.1,0.9,0.6,0.5,0.8,1.0,-1.3
Austin Rivers,MIN,30,52,19.5,4.9,1.8,4.0,43.5,0.8,2.4,35.0,0.6,0.8,76.9,0.1,1.5,1.6,1.4,0.4,0.5,0.1,1.5,-2.7
Blake Wesley,SAS,20,29,17.2,4.9,1.8,5.7,31.5,0.6,1.4,38.1,0.7,1.2,60.0,0.3,1.7,2.1,2.6,1.7,0.6,0.1,1.9,-4.1
George Hill,IND,36,42,18.4,4.9,1.7,3.7,45.5,0.7,2.1,32.2,0.9,1.1,75.0,0.3,1.6,1.9,2.4,0.8,0.6,0.1,1.2,1.0
Chimezie Metu,SAC,26,61,10.6,4.8,2.0,3.3,59.3,0.1,0.6,24.3,0.7,1.0,75.9,0.7,2.3,3.0,0.7,0.5,0.3,0.3,1.3,1.5
DeAndre Jordan,DEN,34,35,14.3,4.8,2.1,2.8,77.3,0.0,0.0,100,0.5,1.2,43.9,1.2,3.6,4.8,0.9,1.2,0.2,0.6,1.9,-3.0
Isaiah Hartenstein,NYK,24,75,19.6,4.8,2.1,4.0,52.0,0.1,0.5,21.6,0.6,0.8,74.6,2.7,3.9,6.6,1.0,0.8,0.6,0.8,2.6,2.0
Payton Pritchard,BOS,25,45,12.5,4.7,1.8,4.6,39.0,0.9,2.8,33.1,0.2,0.3,73.3,0.5,1.0,1.5,1.0,0.7,0.3,0.0,0.8,-0.3
