Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
PJ Dozier,OKC,21,G,2,2,66.7,0.5,1.0,50.0,57.9,-7.9,NaN,NaN
Chris McCullough,WAS,23,F,17,11,48.6,0.6,1.0,58.8,53.7,5.1,4.7,0.1
Monte Morris,DEN,23,G,2,1,22.2,0.5,1.0,50.0,57.1,-7.1,NaN,NaN
Furkan Korkmaz,PHI,20,G-F,9,5,36.0,0.9,1.0,88.9,53.3,35.6,5.7,0.1
Scotty Hopson,DAL,28,G,1,1,50.0,1.0,1.0,100,63.5,36.5,NaN,NaN
Tyler Lydon,DEN,22,F,1,1,50.0,0.0,1.0,0.0,51.5,-51.5,NaN,NaN
Kendrick Perkins,CLE,33,C,1,1,50.0,1.0,1.0,100,55.1,44.9,NaN,NaN
Georges Niang,UTA,25,F,4,2,40.0,0.8,1.0,75.0,51.2,23.8,3.6,0
Gordon Hayward,BOS,28,F,1,1,100,1.0,1.0,100,54.2,45.8,NaN,NaN
Marcus Georges-Hunt,MIN,24,G,21,8,29.4,0.6,0.9,65.0,58.3,6.8,5.3,0
Quincy Pondexter,CHI,30,G,21,10,33.9,0.5,0.9,57.9,56.9,1.0,8.5,0.0
Charles Cooke,NOP,23,G,7,5,50.0,0.6,0.9,66.7,56.7,10.0,2.9,0
Tony Bradley,UTA,20,C,9,6,35.0,0.1,0.8,14.3,54.3,-40.1,3.2,0
Jeff Withey,DAL,28,C,9,5,33.3,0.2,0.8,28.6,61.6,-33.1,4.3,0.3
Cole Aldrich,MIN,29,C,13,9,47.6,0.6,0.8,80.0,51.0,29.0,2.3,0.0
Jake Layman,POR,24,F,17,9,39.4,0.6,0.8,76.9,59.1,17.8,4.7,0.1
Alex Poythress,IND,24,F,19,11,35.1,0.4,0.7,61.5,54.8,6.7,4.2,0.1
Marcus Paige,CHA,24,G,3,2,28.6,0.7,0.7,100,78.9,21.1,NaN,NaN
Jameel Warney,DAL,24,F,3,2,22.2,0.3,0.7,50.0,55.5,-5.5,NaN,NaN
Jabari Bird,BOS,23,G,8,4,20.0,0.3,0.6,40.0,54.3,-14.3,8.8,0.1
Nicolas Brussino,ATL,25,F,2,1,33.3,0.5,0.5,100,65.8,34.2,NaN,NaN
Ben Moore,IND,23,F,2,1,33.3,0.5,0.5,100,43.7,56.3,NaN,NaN
Matt Williams Jr.,MIA,24,G,2,1,50.0,0.0,0.5,0.0,59.8,-59.8,NaN,NaN
Vincent Hunter,MEM,23,F,3,1,20.0,0.0,0.3,0.0,53.9,-53.9,NaN,NaN
Daniel Hamilton,OKC,22,G-F,6,1,11.1,0.2,0.2,100,45.3,54.7,NaN,NaN
