Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Dante Cunningham,NOP,29,F,78,74,50.7,1.5,4.0,36.7,36.5,0.2,24.6,0.5,0.0,0.03
Nate Robinson,NOP,32,G,2,2,53.3,0.5,4.0,12.5,38.2,-25.7,11.5,0.5,0,0
Zach Randolph,MEM,34,F,68,64,39.5,1.4,4.0,34.9,37.9,-3.0,29.7,0.6,0.0,0
Steve Blake,DET,36,G,58,56,60.8,1.5,4.0,38.1,36.6,1.5,17.0,0.4,0.1,0.09
Andre Roberson,OKC,24,G,70,68,51.3,1.3,4.0,32.5,37.9,-5.4,22.2,0.8,0.3,0
Jared Dudley,WAS,30,F,81,78,41.2,1.4,4.0,35.0,37.0,-2.0,25.9,0.9,0.1,0.07
Kenneth Faried,DEN,26,F,67,63,39.6,1.7,3.9,43.2,37.4,5.8,25.3,0.5,0.1,0.04
Nik Stauskas,PHI,22,G,72,69,50.0,1.5,3.9,39.1,36.9,2.2,24.8,0.6,0.1,0.04
Raul Neto,UTA,24,G,81,79,57.6,1.6,3.9,40.9,37.4,3.5,18.5,0.8,0.0,0.04
Alonzo Gee,NOP,29,F,72,69,56.0,1.4,3.9,35.8,37.5,-1.7,22.4,0.9,0.1,0
Alec Burks,UTA,24,G,31,30,56.6,1.5,3.9,39.2,37.4,1.8,25.7,0.6,0.1,0.1
Norman Powell,TOR,23,G,38,37,61.8,1.6,3.9,40.1,37.3,2.8,14.8,0.6,0.0,0.02
Donald Sloan,BKN,28,G,59,56,50.6,1.5,3.9,37.7,37.3,0.4,21.6,0.5,0.0,0.02
Austin Rivers,LAC,23,G,66,63,57.3,1.4,3.9,35.4,37.3,-1.8,21.8,0.7,0.1,0.04
Mario Chalmers,MIA,30,G,61,58,60.8,1.3,3.8,32.5,37.4,-5.0,22.5,1.4,0.1,0.08
PJ Hairston,MEM,23,F-G,64,63,60.1,1.8,3.8,46.3,37.6,8.7,19.9,0.5,0.0,0.09
Ersan Ilyasova,ORL,29,F,74,70,41.1,1.6,3.8,42.0,37.6,4.4,25.4,0.7,0.1,0.47
Tim Hardaway Jr.,ATL,24,G,51,48,70.2,1.2,3.8,31.6,37.1,-5.5,16.9,0.4,0.0,0.02
Shaun Livingston,GSW,30,G,77,77,55.0,1.4,3.8,36.6,36.1,0.5,19.5,0.7,0.2,0
Mirza Teletovic,PHX,30,F,78,72,42.3,1.5,3.8,39.2,36.7,2.5,21.3,0.4,0.1,0.01
Vince Carter,MEM,39,G-F,59,58,65.8,1.5,3.8,39.4,35.9,3.5,16.8,0.6,0.1,0.03
