Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Tyrell Terry,DAL,20,G,8,8,100,0.6,1.8,35.7,43.9,-8.2,NaN,NaN,NaN,NaN
James Nunnally,NOP,30,F,4,4,100,1.3,1.8,71.4,45.4,26.1,NaN,NaN,NaN,NaN
Terrance Ferguson,PHI,23,G,6,6,100,0.8,1.7,50.0,46.0,4.0,NaN,NaN,NaN,NaN
Nate Hinton,DAL,22,G-F,15,15,100,0.9,1.7,52.0,41.8,10.2,4.4,0.3,0.0,0.05
Elijah Hughes,UTA,23,G,12,12,100,0.5,1.7,30.0,42.7,-12.7,3.6,0.1,0.0,0.06
Jalen Lecque,IND,21,G,4,4,100,0.5,1.5,33.3,46.4,-13.0,NaN,NaN,NaN,NaN
Jared Harper,NYK,23,G,4,4,100,0.8,1.5,50.0,42.8,7.2,NaN,NaN,NaN,NaN
Theo Pinson,NYK,25,G-F,12,12,100,0.7,1.3,50.0,43.8,6.2,NaN,NaN,NaN,NaN
Keljin Blevins,POR,25,G,14,14,100,0.4,1.3,33.3,41.7,-8.4,4.4,0.1,0,0
Grant Riller,CHA,24,G,5,5,100,0.8,1.2,66.7,42.9,23.8,NaN,NaN,NaN,NaN
Robert Woodard II,SAC,21,F,7,7,100,0.6,1.1,50.0,50.5,-0.5,NaN,NaN,NaN,NaN
Greg Whittington,DEN,28,F,1,1,100,0.0,1.0,0.0,40.7,-40.7,NaN,NaN,NaN,NaN
